"Kod";"Jednostka terytorialna";"Kierunki wykorzystania powierzchni";"Lata";"Jednostka miary";"Wartość";
"1465028";"Bemowo - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";307;
"1465028";"Bemowo - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";78;
"1465028";"Bemowo - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";2;
"1465028";"Bemowo - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465028";"Bemowo - dzielnica (8)";"użytki ekologiczne";"2014";"ha";0;
"1465028";"Bemowo - dzielnica (8)";"nieużytki";"2014";"ha";17;
"1465028";"Bemowo - dzielnica (8)";"tereny różne";"2014";"ha";0;
"1465038";"Białołęka - dzielnica (8)";"ogółem";"2014";"ha";7304;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne razem";"2014";"ha";2797;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";1655;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - sady";"2014";"ha";39;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";731;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";236;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";106;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465038";"Białołęka - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";30;
"1465038";"Białołęka - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";1148;
"1465038";"Białołęka - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";920;
"1465038";"Białołęka - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";228;
"1465038";"Białołęka - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";355;
"1465038";"Białołęka - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
